date;state_id;state_name;age_group;gender;vaccine;dose_number;doses_administered_cumulative
2022-10-12T23:59:59+02:00;0;NoState;55-64;Female;BioNTechPfizer;2;6180
2022-10-12T23:59:59+02:00;0;NoState;55-64;Male;BioNTechPfizer;2;5542
2022-10-12T23:59:59+02:00;0;NoState;55-64;NonBinary;BioNTechPfizer;2;1
2022-10-12T23:59:59+02:00;0;NoState;55-64;NotAssigned;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;65-74;Female;BioNTechPfizer;2;2479
2022-10-12T23:59:59+02:00;0;NoState;65-74;Male;BioNTechPfizer;2;2032
2022-10-12T23:59:59+02:00;0;NoState;65-74;NonBinary;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;65-74;NotAssigned;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;75-84;Female;BioNTechPfizer;2;2381
2022-10-12T23:59:59+02:00;0;NoState;75-84;Male;BioNTechPfizer;2;2126
2022-10-12T23:59:59+02:00;0;NoState;75-84;NonBinary;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;75-84;NotAssigned;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;85+;Female;BioNTechPfizer;2;3812
2022-10-12T23:59:59+02:00;0;NoState;85+;Male;BioNTechPfizer;2;1918
2022-10-12T23:59:59+02:00;0;NoState;85+;NonBinary;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;85+;NotAssigned;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Female;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;Male;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;NonBinary;BioNTechPfizer;2;0
2022-10-12T23:59:59+02:00;0;NoState;NotAssigned;NotAssigned;BioNTechPfizer;2;2027
